ID:100 has a score of 78.0, Letter grade: C
ID:735 has a score of 56.0, Letter grade: F
ID:736 has a score of 51.33, Letter grade: F
ID:737 has a score of 21.67, Letter grade: F
ID:738 has a score of 41.0, Letter grade: F
ID:739 has a score of 59.67, Letter grade: F
ID:740 has a score of 49.33, Letter grade: F
ID:741 has a score of 59.67, Letter grade: F
ID:742 has a score of 47.0, Letter grade: F
ID:743 has a score of 59.67, Letter grade: F
ID:744 has a score of 48.67, Letter grade: F
ID:745 has a score of 77.33, Letter grade: C
ID:746 has a score of 52.67, Letter grade: F
ID:747 has a score of 71.0, Letter grade: C
ID:748 has a score of 38.67, Letter grade: F
ID:749 has a score of 67.0, Letter grade: D
ID:750 has a score of 39.33, Letter grade: F
ID:751 has a score of 28.0, Letter grade: F
ID:752 has a score of 61.33, Letter grade: D
ID:753 has a score of 71.67, Letter grade: C
ID:754 has a score of 39.67, Letter grade: F
ID:755 has a score of 63.67, Letter grade: D
ID:756 has a score of 58.0, Letter grade: F
ID:757 has a score of 16.67, Letter grade: F
ID:758 has a score of 62.33, Letter grade: D
ID:759 has a score of 44.0, Letter grade: F
ID:760 has a score of 68.33, Letter grade: D
ID:761 has a score of 65.33, Letter grade: D
ID:762 has a score of 69.0, Letter grade: D
ID:763 has a score of 32.67, Letter grade: F
ID:764 has a score of 54.67, Letter grade: F
ID:765 has a score of 69.33, Letter grade: D
ID:766 has a score of 37.0, Letter grade: F
ID:767 has a score of 55.0, Letter grade: F
ID:768 has a score of 56.67, Letter grade: F
ID:769 has a score of 57.67, Letter grade: F
ID:770 has a score of 24.67, Letter grade: F
ID:771 has a score of 44.0, Letter grade: F
ID:772 has a score of 74.0, Letter grade: C
ID:773 has a score of 13.0, Letter grade: F
ID:774 has a score of 47.0, Letter grade: F
ID:775 has a score of 61.0, Letter grade: D
ID:776 has a score of 62.33, Letter grade: D
ID:777 has a score of 66.67, Letter grade: D
ID:778 has a score of 51.0, Letter grade: F
ID:779 has a score of 39.67, Letter grade: F
ID:780 has a score of 56.0, Letter grade: F
ID:781 has a score of 18.0, Letter grade: F
ID:782 has a score of 31.33, Letter grade: F
ID:783 has a score of 32.67, Letter grade: F
ID:784 has a score of 42.67, Letter grade: F
ID:785 has a score of 48.33, Letter grade: F
ID:786 has a score of 27.67, Letter grade: F
ID:787 has a score of 70.0, Letter grade: C
ID:788 has a score of 61.33, Letter grade: D
ID:789 has a score of 50.0, Letter grade: F
ID:790 has a score of 68.0, Letter grade: D
ID:791 has a score of 84.0, Letter grade: B
ID:792 has a score of 64.67, Letter grade: D
ID:793 has a score of 32.0, Letter grade: F
ID:794 has a score of 75.0, Letter grade: C
ID:795 has a score of 49.33, Letter grade: F
ID:796 has a score of 60.33, Letter grade: D
ID:797 has a score of 28.0, Letter grade: F
ID:798 has a score of 56.0, Letter grade: F
ID:799 has a score of 29.0, Letter grade: F
ID:800 has a score of 74.33, Letter grade: C
ID:801 has a score of 45.33, Letter grade: F
ID:802 has a score of 83.33, Letter grade: B
ID:803 has a score of 65.67, Letter grade: D
ID:804 has a score of 21.0, Letter grade: F
ID:805 has a score of 41.67, Letter grade: F
ID:806 has a score of 72.0, Letter grade: C
ID:807 has a score of 15.33, Letter grade: F
ID:808 has a score of 56.0, Letter grade: F
ID:809 has a score of 32.0, Letter grade: F
ID:810 has a score of 41.33, Letter grade: F
ID:811 has a score of 83.33, Letter grade: B
ID:812 has a score of 40.0, Letter grade: F
ID:813 has a score of 78.67, Letter grade: C
ID:814 has a score of 68.33, Letter grade: D
ID:815 has a score of 57.0, Letter grade: F
ID:816 has a score of 62.0, Letter grade: D
ID:817 has a score of 52.67, Letter grade: F
ID:818 has a score of 34.0, Letter grade: F
ID:819 has a score of 75.33, Letter grade: C
ID:820 has a score of 41.33, Letter grade: F
ID:821 has a score of 69.0, Letter grade: D
ID:822 has a score of 54.67, Letter grade: F
ID:823 has a score of 70.67, Letter grade: C
ID:824 has a score of 27.0, Letter grade: F
ID:825 has a score of 64.67, Letter grade: D
ID:826 has a score of 62.67, Letter grade: D
ID:827 has a score of 70.67, Letter grade: C
ID:828 has a score of 48.0, Letter grade: F
ID:829 has a score of 36.67, Letter grade: F
ID:830 has a score of 87.33, Letter grade: B
ID:831 has a score of 69.33, Letter grade: D
ID:832 has a score of 43.0, Letter grade: F
ID:833 has a score of 61.0, Letter grade: D
ID:834 has a score of 43.0, Letter grade: F
ID:835 has a score of 48.67, Letter grade: F
ID:836 has a score of 78.67, Letter grade: C
ID:837 has a score of 37.0, Letter grade: F
ID:838 has a score of 50.0, Letter grade: F
ID:839 has a score of 56.33, Letter grade: F
ID:840 has a score of 80.0, Letter grade: B
ID:841 has a score of 60.67, Letter grade: D
ID:842 has a score of 60.67, Letter grade: D
ID:843 has a score of 39.67, Letter grade: F
ID:844 has a score of 41.33, Letter grade: F
ID:845 has a score of 58.67, Letter grade: F
ID:846 has a score of 42.33, Letter grade: F
ID:847 has a score of 31.67, Letter grade: F
ID:848 has a score of 63.33, Letter grade: D
ID:849 has a score of 64.33, Letter grade: D
ID:850 has a score of 46.33, Letter grade: F
ID:851 has a score of 35.67, Letter grade: F
ID:852 has a score of 41.33, Letter grade: F
ID:853 has a score of 50.33, Letter grade: F
ID:854 has a score of 52.0, Letter grade: F
ID:855 has a score of 43.33, Letter grade: F
ID:856 has a score of 37.0, Letter grade: F
ID:857 has a score of 56.33, Letter grade: F
ID:858 has a score of 35.67, Letter grade: F
ID:859 has a score of 72.33, Letter grade: C
ID:860 has a score of 68.0, Letter grade: D
ID:861 has a score of 51.67, Letter grade: F
ID:862 has a score of 72.0, Letter grade: C
ID:863 has a score of 26.67, Letter grade: F
ID:864 has a score of 68.0, Letter grade: D
ID:865 has a score of 33.33, Letter grade: F
ID:866 has a score of 34.33, Letter grade: F
ID:867 has a score of 62.0, Letter grade: D
ID:868 has a score of 52.33, Letter grade: F
ID:869 has a score of 56.67, Letter grade: F
ID:870 has a score of 56.33, Letter grade: F
ID:871 has a score of 56.0, Letter grade: F
ID:872 has a score of 53.33, Letter grade: F
ID:873 has a score of 20.67, Letter grade: F
ID:874 has a score of 51.33, Letter grade: F
ID:875 has a score of 74.33, Letter grade: C
ID:876 has a score of 89.0, Letter grade: B
ID:877 has a score of 59.0, Letter grade: F
ID:878 has a score of 14.67, Letter grade: F
ID:879 has a score of 34.67, Letter grade: F
ID:880 has a score of 51.0, Letter grade: F
ID:881 has a score of 44.0, Letter grade: F
ID:882 has a score of 28.0, Letter grade: F
ID:883 has a score of 51.33, Letter grade: F
ID:884 has a score of 49.0, Letter grade: F
ID:885 has a score of 58.0, Letter grade: F
ID:886 has a score of 47.0, Letter grade: F
ID:887 has a score of 70.33, Letter grade: C
ID:888 has a score of 59.0, Letter grade: F
ID:889 has a score of 57.33, Letter grade: F
ID:890 has a score of 61.0, Letter grade: D
ID:891 has a score of 61.33, Letter grade: D
ID:892 has a score of 85.67, Letter grade: B
ID:893 has a score of 62.67, Letter grade: D
ID:894 has a score of 70.0, Letter grade: C
ID:895 has a score of 41.67, Letter grade: F
ID:896 has a score of 16.33, Letter grade: F
ID:897 has a score of 47.33, Letter grade: F
ID:898 has a score of 40.67, Letter grade: F
ID:899 has a score of 52.0, Letter grade: F
ID:900 has a score of 44.67, Letter grade: F
ID:901 has a score of 62.33, Letter grade: D
ID:902 has a score of 74.0, Letter grade: C
ID:903 has a score of 60.33, Letter grade: D
ID:904 has a score of 60.33, Letter grade: D
ID:905 has a score of 17.0, Letter grade: F
ID:906 has a score of 57.0, Letter grade: F
ID:907 has a score of 36.67, Letter grade: F
ID:908 has a score of 61.33, Letter grade: D
ID:909 has a score of 45.0, Letter grade: F
ID:910 has a score of 46.0, Letter grade: F
ID:911 has a score of 43.0, Letter grade: F
ID:912 has a score of 53.33, Letter grade: F
ID:913 has a score of 86.0, Letter grade: B
ID:914 has a score of 52.0, Letter grade: F
ID:915 has a score of 42.0, Letter grade: F
ID:916 has a score of 31.67, Letter grade: F
ID:917 has a score of 59.33, Letter grade: F
ID:918 has a score of 71.33, Letter grade: C
ID:919 has a score of 10.33, Letter grade: F
ID:920 has a score of 18.0, Letter grade: F
ID:921 has a score of 40.33, Letter grade: F
ID:922 has a score of 45.67, Letter grade: F
ID:923 has a score of 37.0, Letter grade: F
ID:924 has a score of 45.33, Letter grade: F
ID:925 has a score of 65.67, Letter grade: D
ID:926 has a score of 57.67, Letter grade: F
ID:927 has a score of 31.0, Letter grade: F
ID:928 has a score of 36.0, Letter grade: F
ID:929 has a score of 43.67, Letter grade: F
ID:930 has a score of 59.67, Letter grade: F
ID:931 has a score of 75.33, Letter grade: C
ID:932 has a score of 81.0, Letter grade: B
ID:933 has a score of 50.0, Letter grade: F
ID:934 has a score of 37.0, Letter grade: F
ID:935 has a score of 26.0, Letter grade: F
ID:936 has a score of 13.33, Letter grade: F
ID:937 has a score of 61.67, Letter grade: D
ID:938 has a score of 65.67, Letter grade: D
ID:939 has a score of 37.0, Letter grade: F
ID:940 has a score of 47.0, Letter grade: F
ID:941 has a score of 45.67, Letter grade: F
ID:942 has a score of 67.0, Letter grade: D
ID:943 has a score of 28.67, Letter grade: F
ID:944 has a score of 52.0, Letter grade: F
ID:945 has a score of 34.33, Letter grade: F
ID:946 has a score of 50.33, Letter grade: F
ID:947 has a score of 60.33, Letter grade: D
ID:948 has a score of 61.0, Letter grade: D
ID:949 has a score of 70.0, Letter grade: C
ID:950 has a score of 60.67, Letter grade: D
ID:951 has a score of 64.0, Letter grade: D
ID:952 has a score of 49.67, Letter grade: F
ID:953 has a score of 48.33, Letter grade: F
ID:954 has a score of 53.0, Letter grade: F
ID:955 has a score of 33.33, Letter grade: F
ID:956 has a score of 61.0, Letter grade: D
ID:957 has a score of 41.67, Letter grade: F
ID:958 has a score of 74.67, Letter grade: C
ID:959 has a score of 70.33, Letter grade: C
ID:960 has a score of 32.67, Letter grade: F
ID:961 has a score of 64.33, Letter grade: D
ID:962 has a score of 65.0, Letter grade: D
ID:963 has a score of 56.67, Letter grade: F
ID:964 has a score of 65.67, Letter grade: D
ID:965 has a score of 17.0, Letter grade: F
ID:966 has a score of 78.0, Letter grade: C
ID:967 has a score of 36.67, Letter grade: F
ID:968 has a score of 43.33, Letter grade: F
ID:969 has a score of 21.0, Letter grade: F
ID:970 has a score of 28.0, Letter grade: F
ID:971 has a score of 58.0, Letter grade: F
ID:972 has a score of 52.33, Letter grade: F
ID:973 has a score of 40.0, Letter grade: F
ID:974 has a score of 36.67, Letter grade: F
ID:975 has a score of 63.33, Letter grade: D
ID:976 has a score of 43.67, Letter grade: F
ID:977 has a score of 50.67, Letter grade: F
ID:978 has a score of 72.67, Letter grade: C
ID:979 has a score of 54.0, Letter grade: F
ID:980 has a score of 87.0, Letter grade: B
ID:981 has a score of 28.67, Letter grade: F
ID:982 has a score of 63.0, Letter grade: D
ID:983 has a score of 52.67, Letter grade: F
ID:984 has a score of 38.33, Letter grade: F
ID:985 has a score of 29.33, Letter grade: F
ID:986 has a score of 35.0, Letter grade: F
ID:987 has a score of 43.33, Letter grade: F
ID:988 has a score of 75.33, Letter grade: C
ID:989 has a score of 75.33, Letter grade: C
ID:990 has a score of 59.67, Letter grade: F
ID:991 has a score of 62.67, Letter grade: D
ID:992 has a score of 64.0, Letter grade: D
ID:993 has a score of 30.67, Letter grade: F
ID:994 has a score of 14.67, Letter grade: F
ID:995 has a score of 35.33, Letter grade: F
ID:996 has a score of 44.0, Letter grade: F
ID:997 has a score of 47.67, Letter grade: F
ID:998 has a score of 43.33, Letter grade: F
ID:999 has a score of 32.33, Letter grade: F
