ID:639 has a score of 4.33, Letter grade: F
ID:984 has a score of 38.33, Letter grade: F
ID:641 has a score of 38.33, Letter grade: F
ID:196 has a score of 38.33, Letter grade: F
ID:984 has a score of 38.33, Letter grade: F
ID:426 has a score of 38.67, Letter grade: F
ID:327 has a score of 38.67, Letter grade: F
ID:318 has a score of 38.67, Letter grade: F
ID:748 has a score of 38.67, Letter grade: F
ID:426 has a score of 38.67, Letter grade: F
ID:327 has a score of 38.67, Letter grade: F
ID:318 has a score of 38.67, Letter grade: F
ID:748 has a score of 38.67, Letter grade: F
ID:426 has a score of 38.67, Letter grade: F
ID:327 has a score of 38.67, Letter grade: F
ID:318 has a score of 38.67, Letter grade: F
ID:748 has a score of 38.67, Letter grade: F
ID:426 has a score of 38.67, Letter grade: F
ID:327 has a score of 38.67, Letter grade: F
ID:318 has a score of 38.67, Letter grade: F
ID:748 has a score of 38.67, Letter grade: F
ID:181 has a score of 39.0, Letter grade: F
ID:302 has a score of 39.0, Letter grade: F
ID:644 has a score of 39.0, Letter grade: F
ID:317 has a score of 39.0, Letter grade: F
ID:181 has a score of 39.0, Letter grade: F
ID:302 has a score of 39.0, Letter grade: F
ID:644 has a score of 39.0, Letter grade: F
ID:317 has a score of 39.0, Letter grade: F
ID:181 has a score of 39.0, Letter grade: F
ID:302 has a score of 39.0, Letter grade: F
ID:644 has a score of 39.0, Letter grade: F
ID:317 has a score of 39.0, Letter grade: F
ID:181 has a score of 39.0, Letter grade: F
ID:302 has a score of 39.0, Letter grade: F
ID:644 has a score of 39.0, Letter grade: F
ID:317 has a score of 39.0, Letter grade: F
ID:643 has a score of 39.33, Letter grade: F
ID:461 has a score of 39.33, Letter grade: F
ID:478 has a score of 39.33, Letter grade: F
ID:750 has a score of 39.33, Letter grade: F
ID:652 has a score of 39.33, Letter grade: F
ID:232 has a score of 39.33, Letter grade: F
ID:591 has a score of 39.33, Letter grade: F
ID:279 has a score of 39.33, Letter grade: F
ID:643 has a score of 39.33, Letter grade: F
ID:461 has a score of 39.33, Letter grade: F
ID:478 has a score of 39.33, Letter grade: F
ID:750 has a score of 39.33, Letter grade: F
ID:652 has a score of 39.33, Letter grade: F
ID:232 has a score of 39.33, Letter grade: F
ID:591 has a score of 39.33, Letter grade: F
ID:279 has a score of 39.33, Letter grade: F
ID:643 has a score of 39.33, Letter grade: F
ID:461 has a score of 39.33, Letter grade: F
ID:478 has a score of 39.33, Letter grade: F
ID:750 has a score of 39.33, Letter grade: F
ID:652 has a score of 39.33, Letter grade: F
ID:232 has a score of 39.33, Letter grade: F
ID:591 has a score of 39.33, Letter grade: F
ID:279 has a score of 39.33, Letter grade: F
ID:643 has a score of 39.33, Letter grade: F
ID:461 has a score of 39.33, Letter grade: F
ID:478 has a score of 39.33, Letter grade: F
ID:750 has a score of 39.33, Letter grade: F
ID:652 has a score of 39.33, Letter grade: F
ID:232 has a score of 39.33, Letter grade: F
ID:591 has a score of 39.33, Letter grade: F
ID:279 has a score of 39.33, Letter grade: F
ID:643 has a score of 39.33, Letter grade: F
ID:461 has a score of 39.33, Letter grade: F
ID:478 has a score of 39.33, Letter grade: F
ID:750 has a score of 39.33, Letter grade: F
ID:652 has a score of 39.33, Letter grade: F
ID:232 has a score of 39.33, Letter grade: F
ID:591 has a score of 39.33, Letter grade: F
ID:279 has a score of 39.33, Letter grade: F
ID:643 has a score of 39.33, Letter grade: F
ID:461 has a score of 39.33, Letter grade: F
ID:478 has a score of 39.33, Letter grade: F
ID:750 has a score of 39.33, Letter grade: F
ID:652 has a score of 39.33, Letter grade: F
ID:232 has a score of 39.33, Letter grade: F
ID:591 has a score of 39.33, Letter grade: F
ID:279 has a score of 39.33, Letter grade: F
ID:643 has a score of 39.33, Letter grade: F
ID:461 has a score of 39.33, Letter grade: F
ID:478 has a score of 39.33, Letter grade: F
ID:750 has a score of 39.33, Letter grade: F
ID:652 has a score of 39.33, Letter grade: F
ID:232 has a score of 39.33, Letter grade: F
ID:591 has a score of 39.33, Letter grade: F
ID:279 has a score of 39.33, Letter grade: F
ID:643 has a score of 39.33, Letter grade: F
ID:461 has a score of 39.33, Letter grade: F
ID:478 has a score of 39.33, Letter grade: F
ID:750 has a score of 39.33, Letter grade: F
ID:652 has a score of 39.33, Letter grade: F
ID:232 has a score of 39.33, Letter grade: F
ID:591 has a score of 39.33, Letter grade: F
ID:279 has a score of 39.33, Letter grade: F
ID:754 has a score of 39.67, Letter grade: F
ID:415 has a score of 39.67, Letter grade: F
ID:843 has a score of 39.67, Letter grade: F
ID:779 has a score of 39.67, Letter grade: F
ID:224 has a score of 39.67, Letter grade: F
ID:125 has a score of 39.67, Letter grade: F
ID:117 has a score of 39.67, Letter grade: F
ID:754 has a score of 39.67, Letter grade: F
ID:415 has a score of 39.67, Letter grade: F
ID:843 has a score of 39.67, Letter grade: F
ID:779 has a score of 39.67, Letter grade: F
ID:224 has a score of 39.67, Letter grade: F
ID:125 has a score of 39.67, Letter grade: F
ID:117 has a score of 39.67, Letter grade: F
ID:754 has a score of 39.67, Letter grade: F
ID:415 has a score of 39.67, Letter grade: F
ID:843 has a score of 39.67, Letter grade: F
ID:779 has a score of 39.67, Letter grade: F
ID:224 has a score of 39.67, Letter grade: F
ID:125 has a score of 39.67, Letter grade: F
ID:117 has a score of 39.67, Letter grade: F
ID:754 has a score of 39.67, Letter grade: F
ID:415 has a score of 39.67, Letter grade: F
ID:843 has a score of 39.67, Letter grade: F
ID:779 has a score of 39.67, Letter grade: F
ID:224 has a score of 39.67, Letter grade: F
ID:125 has a score of 39.67, Letter grade: F
ID:117 has a score of 39.67, Letter grade: F
ID:754 has a score of 39.67, Letter grade: F
ID:415 has a score of 39.67, Letter grade: F
ID:843 has a score of 39.67, Letter grade: F
ID:779 has a score of 39.67, Letter grade: F
ID:224 has a score of 39.67, Letter grade: F
ID:125 has a score of 39.67, Letter grade: F
ID:117 has a score of 39.67, Letter grade: F
ID:754 has a score of 39.67, Letter grade: F
ID:415 has a score of 39.67, Letter grade: F
ID:843 has a score of 39.67, Letter grade: F
ID:779 has a score of 39.67, Letter grade: F
ID:224 has a score of 39.67, Letter grade: F
ID:125 has a score of 39.67, Letter grade: F
ID:117 has a score of 39.67, Letter grade: F
ID:754 has a score of 39.67, Letter grade: F
ID:415 has a score of 39.67, Letter grade: F
ID:843 has a score of 39.67, Letter grade: F
ID:779 has a score of 39.67, Letter grade: F
ID:224 has a score of 39.67, Letter grade: F
ID:125 has a score of 39.67, Letter grade: F
ID:117 has a score of 39.67, Letter grade: F
ID:812 has a score of 40.0, Letter grade: F
ID:261 has a score of 40.0, Letter grade: F
ID:731 has a score of 40.0, Letter grade: F
ID:973 has a score of 40.0, Letter grade: F
ID:812 has a score of 40.0, Letter grade: F
ID:261 has a score of 40.0, Letter grade: F
ID:731 has a score of 40.0, Letter grade: F
ID:973 has a score of 40.0, Letter grade: F
ID:812 has a score of 40.0, Letter grade: F
ID:261 has a score of 40.0, Letter grade: F
ID:731 has a score of 40.0, Letter grade: F
ID:973 has a score of 40.0, Letter grade: F
ID:812 has a score of 40.0, Letter grade: F
ID:261 has a score of 40.0, Letter grade: F
ID:731 has a score of 40.0, Letter grade: F
ID:973 has a score of 40.0, Letter grade: F
ID:581 has a score of 40.33, Letter grade: F
ID:921 has a score of 40.33, Letter grade: F
ID:300 has a score of 40.33, Letter grade: F
ID:581 has a score of 40.33, Letter grade: F
ID:921 has a score of 40.33, Letter grade: F
ID:300 has a score of 40.33, Letter grade: F
ID:581 has a score of 40.33, Letter grade: F
ID:921 has a score of 40.33, Letter grade: F
ID:300 has a score of 40.33, Letter grade: F
ID:560 has a score of 40.67, Letter grade: F
ID:527 has a score of 40.67, Letter grade: F
ID:290 has a score of 40.67, Letter grade: F
ID:898 has a score of 40.67, Letter grade: F
ID:560 has a score of 40.67, Letter grade: F
ID:527 has a score of 40.67, Letter grade: F
ID:290 has a score of 40.67, Letter grade: F
ID:898 has a score of 40.67, Letter grade: F
ID:560 has a score of 40.67, Letter grade: F
ID:527 has a score of 40.67, Letter grade: F
ID:290 has a score of 40.67, Letter grade: F
ID:898 has a score of 40.67, Letter grade: F
ID:560 has a score of 40.67, Letter grade: F
ID:527 has a score of 40.67, Letter grade: F
ID:290 has a score of 40.67, Letter grade: F
ID:898 has a score of 40.67, Letter grade: F
ID:345 has a score of 41.0, Letter grade: F
ID:738 has a score of 41.0, Letter grade: F
ID:309 has a score of 41.0, Letter grade: F
ID:147 has a score of 41.0, Letter grade: F
ID:711 has a score of 41.0, Letter grade: F
ID:345 has a score of 41.0, Letter grade: F
ID:738 has a score of 41.0, Letter grade: F
ID:309 has a score of 41.0, Letter grade: F
ID:147 has a score of 41.0, Letter grade: F
ID:711 has a score of 41.0, Letter grade: F
ID:345 has a score of 41.0, Letter grade: F
ID:738 has a score of 41.0, Letter grade: F
ID:309 has a score of 41.0, Letter grade: F
ID:147 has a score of 41.0, Letter grade: F
ID:711 has a score of 41.0, Letter grade: F
ID:345 has a score of 41.0, Letter grade: F
ID:738 has a score of 41.0, Letter grade: F
ID:309 has a score of 41.0, Letter grade: F
ID:147 has a score of 41.0, Letter grade: F
ID:711 has a score of 41.0, Letter grade: F
ID:345 has a score of 41.0, Letter grade: F
ID:738 has a score of 41.0, Letter grade: F
ID:309 has a score of 41.0, Letter grade: F
ID:147 has a score of 41.0, Letter grade: F
ID:711 has a score of 41.0, Letter grade: F
ID:810 has a score of 41.33, Letter grade: F
ID:820 has a score of 41.33, Letter grade: F
ID:490 has a score of 41.33, Letter grade: F
ID:655 has a score of 41.33, Letter grade: F
ID:371 has a score of 41.33, Letter grade: F
ID:844 has a score of 41.33, Letter grade: F
ID:727 has a score of 41.33, Letter grade: F
ID:189 has a score of 41.33, Letter grade: F
ID:341 has a score of 41.33, Letter grade: F
ID:509 has a score of 41.33, Letter grade: F
ID:852 has a score of 41.33, Letter grade: F
ID:322 has a score of 41.33, Letter grade: F
ID:810 has a score of 41.33, Letter grade: F
ID:820 has a score of 41.33, Letter grade: F
ID:490 has a score of 41.33, Letter grade: F
ID:655 has a score of 41.33, Letter grade: F
ID:371 has a score of 41.33, Letter grade: F
ID:844 has a score of 41.33, Letter grade: F
ID:727 has a score of 41.33, Letter grade: F
ID:189 has a score of 41.33, Letter grade: F
ID:341 has a score of 41.33, Letter grade: F
ID:509 has a score of 41.33, Letter grade: F
ID:852 has a score of 41.33, Letter grade: F
ID:322 has a score of 41.33, Letter grade: F
ID:810 has a score of 41.33, Letter grade: F
ID:820 has a score of 41.33, Letter grade: F
ID:490 has a score of 41.33, Letter grade: F
ID:655 has a score of 41.33, Letter grade: F
ID:371 has a score of 41.33, Letter grade: F
ID:844 has a score of 41.33, Letter grade: F
ID:727 has a score of 41.33, Letter grade: F
ID:189 has a score of 41.33, Letter grade: F
ID:341 has a score of 41.33, Letter grade: F
ID:509 has a score of 41.33, Letter grade: F
ID:852 has a score of 41.33, Letter grade: F
ID:322 has a score of 41.33, Letter grade: F
ID:810 has a score of 41.33, Letter grade: F
ID:820 has a score of 41.33, Letter grade: F
ID:490 has a score of 41.33, Letter grade: F
ID:655 has a score of 41.33, Letter grade: F
ID:371 has a score of 41.33, Letter grade: F
ID:844 has a score of 41.33, Letter grade: F
ID:727 has a score of 41.33, Letter grade: F
ID:189 has a score of 41.33, Letter grade: F
ID:341 has a score of 41.33, Letter grade: F
ID:509 has a score of 41.33, Letter grade: F
ID:852 has a score of 41.33, Letter grade: F
ID:322 has a score of 41.33, Letter grade: F
ID:810 has a score of 41.33, Letter grade: F
ID:820 has a score of 41.33, Letter grade: F
ID:490 has a score of 41.33, Letter grade: F
ID:655 has a score of 41.33, Letter grade: F
ID:371 has a score of 41.33, Letter grade: F
ID:844 has a score of 41.33, Letter grade: F
ID:727 has a score of 41.33, Letter grade: F
ID:189 has a score of 41.33, Letter grade: F
ID:341 has a score of 41.33, Letter grade: F
ID:509 has a score of 41.33, Letter grade: F
ID:852 has a score of 41.33, Letter grade: F
ID:322 has a score of 41.33, Letter grade: F
ID:810 has a score of 41.33, Letter grade: F
ID:820 has a score of 41.33, Letter grade: F
ID:490 has a score of 41.33, Letter grade: F
ID:655 has a score of 41.33, Letter grade: F
ID:371 has a score of 41.33, Letter grade: F
ID:844 has a score of 41.33, Letter grade: F
ID:727 has a score of 41.33, Letter grade: F
ID:189 has a score of 41.33, Letter grade: F
ID:341 has a score of 41.33, Letter grade: F
ID:509 has a score of 41.33, Letter grade: F
ID:852 has a score of 41.33, Letter grade: F
ID:322 has a score of 41.33, Letter grade: F
ID:810 has a score of 41.33, Letter grade: F
ID:820 has a score of 41.33, Letter grade: F
ID:490 has a score of 41.33, Letter grade: F
ID:655 has a score of 41.33, Letter grade: F
ID:371 has a score of 41.33, Letter grade: F
ID:844 has a score of 41.33, Letter grade: F
ID:727 has a score of 41.33, Letter grade: F
ID:189 has a score of 41.33, Letter grade: F
ID:341 has a score of 41.33, Letter grade: F
ID:509 has a score of 41.33, Letter grade: F
ID:852 has a score of 41.33, Letter grade: F
ID:322 has a score of 41.33, Letter grade: F
ID:810 has a score of 41.33, Letter grade: F
ID:820 has a score of 41.33, Letter grade: F
ID:490 has a score of 41.33, Letter grade: F
ID:655 has a score of 41.33, Letter grade: F
ID:371 has a score of 41.33, Letter grade: F
ID:844 has a score of 41.33, Letter grade: F
ID:727 has a score of 41.33, Letter grade: F
ID:189 has a score of 41.33, Letter grade: F
ID:341 has a score of 41.33, Letter grade: F
ID:509 has a score of 41.33, Letter grade: F
ID:852 has a score of 41.33, Letter grade: F
ID:322 has a score of 41.33, Letter grade: F
ID:810 has a score of 41.33, Letter grade: F
ID:820 has a score of 41.33, Letter grade: F
ID:490 has a score of 41.33, Letter grade: F
ID:655 has a score of 41.33, Letter grade: F
ID:371 has a score of 41.33, Letter grade: F
ID:844 has a score of 41.33, Letter grade: F
ID:727 has a score of 41.33, Letter grade: F
ID:189 has a score of 41.33, Letter grade: F
ID:341 has a score of 41.33, Letter grade: F
ID:509 has a score of 41.33, Letter grade: F
ID:852 has a score of 41.33, Letter grade: F
ID:322 has a score of 41.33, Letter grade: F
ID:810 has a score of 41.33, Letter grade: F
ID:820 has a score of 41.33, Letter grade: F
ID:490 has a score of 41.33, Letter grade: F
ID:655 has a score of 41.33, Letter grade: F
ID:371 has a score of 41.33, Letter grade: F
ID:844 has a score of 41.33, Letter grade: F
ID:727 has a score of 41.33, Letter grade: F
ID:189 has a score of 41.33, Letter grade: F
ID:341 has a score of 41.33, Letter grade: F
ID:509 has a score of 41.33, Letter grade: F
ID:852 has a score of 41.33, Letter grade: F
ID:322 has a score of 41.33, Letter grade: F
ID:810 has a score of 41.33, Letter grade: F
ID:820 has a score of 41.33, Letter grade: F
ID:490 has a score of 41.33, Letter grade: F
ID:655 has a score of 41.33, Letter grade: F
ID:371 has a score of 41.33, Letter grade: F
ID:844 has a score of 41.33, Letter grade: F
ID:727 has a score of 41.33, Letter grade: F
ID:189 has a score of 41.33, Letter grade: F
ID:341 has a score of 41.33, Letter grade: F
ID:509 has a score of 41.33, Letter grade: F
ID:852 has a score of 41.33, Letter grade: F
ID:322 has a score of 41.33, Letter grade: F
ID:810 has a score of 41.33, Letter grade: F
ID:820 has a score of 41.33, Letter grade: F
ID:490 has a score of 41.33, Letter grade: F
ID:655 has a score of 41.33, Letter grade: F
ID:371 has a score of 41.33, Letter grade: F
ID:844 has a score of 41.33, Letter grade: F
ID:727 has a score of 41.33, Letter grade: F
ID:189 has a score of 41.33, Letter grade: F
ID:341 has a score of 41.33, Letter grade: F
ID:509 has a score of 41.33, Letter grade: F
ID:852 has a score of 41.33, Letter grade: F
ID:322 has a score of 41.33, Letter grade: F
ID:805 has a score of 41.67, Letter grade: F
ID:895 has a score of 41.67, Letter grade: F
ID:542 has a score of 41.67, Letter grade: F
ID:351 has a score of 41.67, Letter grade: F
ID:957 has a score of 41.67, Letter grade: F
ID:805 has a score of 41.67, Letter grade: F
ID:895 has a score of 41.67, Letter grade: F
ID:542 has a score of 41.67, Letter grade: F
ID:351 has a score of 41.67, Letter grade: F
ID:957 has a score of 41.67, Letter grade: F
ID:805 has a score of 41.67, Letter grade: F
ID:895 has a score of 41.67, Letter grade: F
ID:542 has a score of 41.67, Letter grade: F
ID:351 has a score of 41.67, Letter grade: F
ID:957 has a score of 41.67, Letter grade: F
ID:805 has a score of 41.67, Letter grade: F
ID:895 has a score of 41.67, Letter grade: F
ID:542 has a score of 41.67, Letter grade: F
ID:351 has a score of 41.67, Letter grade: F
ID:957 has a score of 41.67, Letter grade: F
ID:805 has a score of 41.67, Letter grade: F
ID:895 has a score of 41.67, Letter grade: F
ID:542 has a score of 41.67, Letter grade: F
ID:351 has a score of 41.67, Letter grade: F
ID:957 has a score of 41.67, Letter grade: F
ID:502 has a score of 42.0, Letter grade: F
ID:658 has a score of 42.0, Letter grade: F
ID:483 has a score of 42.0, Letter grade: F
ID:915 has a score of 42.0, Letter grade: F
ID:502 has a score of 42.0, Letter grade: F
ID:658 has a score of 42.0, Letter grade: F
ID:483 has a score of 42.0, Letter grade: F
ID:915 has a score of 42.0, Letter grade: F
ID:502 has a score of 42.0, Letter grade: F
ID:658 has a score of 42.0, Letter grade: F
ID:483 has a score of 42.0, Letter grade: F
ID:915 has a score of 42.0, Letter grade: F
ID:502 has a score of 42.0, Letter grade: F
ID:658 has a score of 42.0, Letter grade: F
ID:483 has a score of 42.0, Letter grade: F
ID:915 has a score of 42.0, Letter grade: F
ID:572 has a score of 42.33, Letter grade: F
ID:390 has a score of 42.33, Letter grade: F
ID:241 has a score of 42.33, Letter grade: F
ID:629 has a score of 42.33, Letter grade: F
ID:846 has a score of 42.33, Letter grade: F
ID:572 has a score of 42.33, Letter grade: F
ID:390 has a score of 42.33, Letter grade: F
ID:241 has a score of 42.33, Letter grade: F
ID:629 has a score of 42.33, Letter grade: F
ID:846 has a score of 42.33, Letter grade: F
ID:572 has a score of 42.33, Letter grade: F
ID:390 has a score of 42.33, Letter grade: F
ID:241 has a score of 42.33, Letter grade: F
ID:629 has a score of 42.33, Letter grade: F
ID:846 has a score of 42.33, Letter grade: F
ID:572 has a score of 42.33, Letter grade: F
ID:390 has a score of 42.33, Letter grade: F
ID:241 has a score of 42.33, Letter grade: F
ID:629 has a score of 42.33, Letter grade: F
ID:846 has a score of 42.33, Letter grade: F
ID:572 has a score of 42.33, Letter grade: F
ID:390 has a score of 42.33, Letter grade: F
ID:241 has a score of 42.33, Letter grade: F
ID:629 has a score of 42.33, Letter grade: F
ID:846 has a score of 42.33, Letter grade: F
ID:200 has a score of 42.67, Letter grade: F
ID:784 has a score of 42.67, Letter grade: F
ID:168 has a score of 42.67, Letter grade: F
ID:635 has a score of 42.67, Letter grade: F
ID:101 has a score of 42.67, Letter grade: F
ID:200 has a score of 42.67, Letter grade: F
ID:784 has a score of 42.67, Letter grade: F
ID:168 has a score of 42.67, Letter grade: F
ID:635 has a score of 42.67, Letter grade: F
ID:101 has a score of 42.67, Letter grade: F
ID:200 has a score of 42.67, Letter grade: F
ID:784 has a score of 42.67, Letter grade: F
ID:168 has a score of 42.67, Letter grade: F
ID:635 has a score of 42.67, Letter grade: F
ID:101 has a score of 42.67, Letter grade: F
ID:200 has a score of 42.67, Letter grade: F
ID:784 has a score of 42.67, Letter grade: F
ID:168 has a score of 42.67, Letter grade: F
ID:635 has a score of 42.67, Letter grade: F
ID:101 has a score of 42.67, Letter grade: F
ID:200 has a score of 42.67, Letter grade: F
ID:784 has a score of 42.67, Letter grade: F
ID:168 has a score of 42.67, Letter grade: F
ID:635 has a score of 42.67, Letter grade: F
ID:101 has a score of 42.67, Letter grade: F
ID:834 has a score of 43.0, Letter grade: F
ID:497 has a score of 43.0, Letter grade: F
ID:338 has a score of 43.0, Letter grade: F
ID:832 has a score of 43.0, Letter grade: F
ID:159 has a score of 43.0, Letter grade: F
ID:911 has a score of 43.0, Letter grade: F
ID:834 has a score of 43.0, Letter grade: F
ID:497 has a score of 43.0, Letter grade: F
ID:338 has a score of 43.0, Letter grade: F
ID:832 has a score of 43.0, Letter grade: F
ID:159 has a score of 43.0, Letter grade: F
ID:911 has a score of 43.0, Letter grade: F
ID:834 has a score of 43.0, Letter grade: F
ID:497 has a score of 43.0, Letter grade: F
ID:338 has a score of 43.0, Letter grade: F
ID:832 has a score of 43.0, Letter grade: F
ID:159 has a score of 43.0, Letter grade: F
ID:911 has a score of 43.0, Letter grade: F
ID:834 has a score of 43.0, Letter grade: F
ID:497 has a score of 43.0, Letter grade: F
ID:338 has a score of 43.0, Letter grade: F
ID:832 has a score of 43.0, Letter grade: F
ID:159 has a score of 43.0, Letter grade: F
ID:911 has a score of 43.0, Letter grade: F
ID:834 has a score of 43.0, Letter grade: F
ID:497 has a score of 43.0, Letter grade: F
ID:338 has a score of 43.0, Letter grade: F
ID:832 has a score of 43.0, Letter grade: F
ID:159 has a score of 43.0, Letter grade: F
ID:911 has a score of 43.0, Letter grade: F
ID:834 has a score of 43.0, Letter grade: F
ID:497 has a score of 43.0, Letter grade: F
ID:338 has a score of 43.0, Letter grade: F
ID:832 has a score of 43.0, Letter grade: F
ID:159 has a score of 43.0, Letter grade: F
ID:911 has a score of 43.0, Letter grade: F
ID:732 has a score of 43.33, Letter grade: F
ID:587 has a score of 43.33, Letter grade: F
ID:998 has a score of 43.33, Letter grade: F
ID:968 has a score of 43.33, Letter grade: F
ID:987 has a score of 43.33, Letter grade: F
ID:113 has a score of 43.33, Letter grade: F
ID:333 has a score of 43.33, Letter grade: F
ID:855 has a score of 43.33, Letter grade: F
ID:732 has a score of 43.33, Letter grade: F
ID:587 has a score of 43.33, Letter grade: F
ID:998 has a score of 43.33, Letter grade: F
ID:968 has a score of 43.33, Letter grade: F
ID:987 has a score of 43.33, Letter grade: F
ID:113 has a score of 43.33, Letter grade: F
ID:333 has a score of 43.33, Letter grade: F
ID:855 has a score of 43.33, Letter grade: F
ID:732 has a score of 43.33, Letter grade: F
ID:587 has a score of 43.33, Letter grade: F
ID:998 has a score of 43.33, Letter grade: F
ID:968 has a score of 43.33, Letter grade: F
ID:987 has a score of 43.33, Letter grade: F
ID:113 has a score of 43.33, Letter grade: F
ID:333 has a score of 43.33, Letter grade: F
ID:855 has a score of 43.33, Letter grade: F
ID:732 has a score of 43.33, Letter grade: F
ID:587 has a score of 43.33, Letter grade: F
ID:998 has a score of 43.33, Letter grade: F
ID:968 has a score of 43.33, Letter grade: F
ID:987 has a score of 43.33, Letter grade: F
ID:113 has a score of 43.33, Letter grade: F
ID:333 has a score of 43.33, Letter grade: F
ID:855 has a score of 43.33, Letter grade: F
ID:732 has a score of 43.33, Letter grade: F
ID:587 has a score of 43.33, Letter grade: F
ID:998 has a score of 43.33, Letter grade: F
ID:968 has a score of 43.33, Letter grade: F
ID:987 has a score of 43.33, Letter grade: F
ID:113 has a score of 43.33, Letter grade: F
ID:333 has a score of 43.33, Letter grade: F
ID:855 has a score of 43.33, Letter grade: F
ID:732 has a score of 43.33, Letter grade: F
ID:587 has a score of 43.33, Letter grade: F
ID:998 has a score of 43.33, Letter grade: F
ID:968 has a score of 43.33, Letter grade: F
ID:987 has a score of 43.33, Letter grade: F
ID:113 has a score of 43.33, Letter grade: F
ID:333 has a score of 43.33, Letter grade: F
ID:855 has a score of 43.33, Letter grade: F
ID:732 has a score of 43.33, Letter grade: F
ID:587 has a score of 43.33, Letter grade: F
ID:998 has a score of 43.33, Letter grade: F
ID:968 has a score of 43.33, Letter grade: F
ID:987 has a score of 43.33, Letter grade: F
ID:113 has a score of 43.33, Letter grade: F
ID:333 has a score of 43.33, Letter grade: F
ID:855 has a score of 43.33, Letter grade: F
ID:732 has a score of 43.33, Letter grade: F
ID:587 has a score of 43.33, Letter grade: F
ID:998 has a score of 43.33, Letter grade: F
ID:968 has a score of 43.33, Letter grade: F
ID:987 has a score of 43.33, Letter grade: F
ID:113 has a score of 43.33, Letter grade: F
ID:333 has a score of 43.33, Letter grade: F
ID:855 has a score of 43.33, Letter grade: F
ID:673 has a score of 43.67, Letter grade: F
ID:274 has a score of 43.67, Letter grade: F
ID:669 has a score of 43.67, Letter grade: F
ID:183 has a score of 43.67, Letter grade: F
ID:929 has a score of 43.67, Letter grade: F
ID:450 has a score of 43.67, Letter grade: F
ID:651 has a score of 43.67, Letter grade: F
ID:976 has a score of 43.67, Letter grade: F
ID:673 has a score of 43.67, Letter grade: F
ID:274 has a score of 43.67, Letter grade: F
ID:669 has a score of 43.67, Letter grade: F
ID:183 has a score of 43.67, Letter grade: F
ID:929 has a score of 43.67, Letter grade: F
ID:450 has a score of 43.67, Letter grade: F
ID:651 has a score of 43.67, Letter grade: F
ID:976 has a score of 43.67, Letter grade: F
ID:673 has a score of 43.67, Letter grade: F
ID:274 has a score of 43.67, Letter grade: F
ID:669 has a score of 43.67, Letter grade: F
ID:183 has a score of 43.67, Letter grade: F
ID:929 has a score of 43.67, Letter grade: F
ID:450 has a score of 43.67, Letter grade: F
ID:651 has a score of 43.67, Letter grade: F
ID:976 has a score of 43.67, Letter grade: F
ID:673 has a score of 43.67, Letter grade: F
ID:274 has a score of 43.67, Letter grade: F
ID:669 has a score of 43.67, Letter grade: F
ID:183 has a score of 43.67, Letter grade: F
ID:929 has a score of 43.67, Letter grade: F
ID:450 has a score of 43.67, Letter grade: F
ID:651 has a score of 43.67, Letter grade: F
ID:976 has a score of 43.67, Letter grade: F
ID:673 has a score of 43.67, Letter grade: F
ID:274 has a score of 43.67, Letter grade: F
ID:669 has a score of 43.67, Letter grade: F
ID:183 has a score of 43.67, Letter grade: F
ID:929 has a score of 43.67, Letter grade: F
ID:450 has a score of 43.67, Letter grade: F
ID:651 has a score of 43.67, Letter grade: F
ID:976 has a score of 43.67, Letter grade: F
ID:673 has a score of 43.67, Letter grade: F
ID:274 has a score of 43.67, Letter grade: F
ID:669 has a score of 43.67, Letter grade: F
ID:183 has a score of 43.67, Letter grade: F
ID:929 has a score of 43.67, Letter grade: F
ID:450 has a score of 43.67, Letter grade: F
ID:651 has a score of 43.67, Letter grade: F
ID:976 has a score of 43.67, Letter grade: F
ID:673 has a score of 43.67, Letter grade: F
ID:274 has a score of 43.67, Letter grade: F
ID:669 has a score of 43.67, Letter grade: F
ID:183 has a score of 43.67, Letter grade: F
ID:929 has a score of 43.67, Letter grade: F
ID:450 has a score of 43.67, Letter grade: F
ID:651 has a score of 43.67, Letter grade: F
ID:976 has a score of 43.67, Letter grade: F
ID:673 has a score of 43.67, Letter grade: F
ID:274 has a score of 43.67, Letter grade: F
ID:669 has a score of 43.67, Letter grade: F
ID:183 has a score of 43.67, Letter grade: F
ID:929 has a score of 43.67, Letter grade: F
ID:450 has a score of 43.67, Letter grade: F
ID:651 has a score of 43.67, Letter grade: F
ID:976 has a score of 43.67, Letter grade: F
ID:759 has a score of 44.0, Letter grade: F
ID:180 has a score of 44.0, Letter grade: F
ID:588 has a score of 44.0, Letter grade: F
ID:771 has a score of 44.0, Letter grade: F
ID:881 has a score of 44.0, Letter grade: F
ID:165 has a score of 44.0, Letter grade: F
ID:996 has a score of 44.0, Letter grade: F
ID:137 has a score of 44.0, Letter grade: F
ID:471 has a score of 44.0, Letter grade: F
ID:759 has a score of 44.0, Letter grade: F
ID:180 has a score of 44.0, Letter grade: F
ID:588 has a score of 44.0, Letter grade: F
ID:771 has a score of 44.0, Letter grade: F
ID:881 has a score of 44.0, Letter grade: F
ID:165 has a score of 44.0, Letter grade: F
ID:996 has a score of 44.0, Letter grade: F
ID:137 has a score of 44.0, Letter grade: F
ID:471 has a score of 44.0, Letter grade: F
ID:759 has a score of 44.0, Letter grade: F
ID:180 has a score of 44.0, Letter grade: F
ID:588 has a score of 44.0, Letter grade: F
